scenario,year,sector,cumulative_units,installed_capacity_gw,annual_generation_twh,avoided_fossil_twh,avoided_co2_mt,share_of_global_electricity_pct,cf_sensitivity_low_twh,cf_sensitivity_high_twh,unit_power_sensitivity_low_twh,unit_power_sensitivity_high_twh,warnings
unrealistic_upper_bound_check,2046,agricultural_irrigation_canals,224315,0.448630,0.660570,0.429370,0.1932,0.002278,0.566203,0.754937,0.462399,0.858741,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2047,agricultural_irrigation_canals,245017,0.490034,0.721534,0.468997,0.2110,0.002488,0.618458,0.824610,0.505074,0.937994,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2048,agricultural_irrigation_canals,267169,0.534338,0.786768,0.511399,0.2301,0.002713,0.674372,0.899163,0.550737,1.022798,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2049,agricultural_irrigation_canals,290871,0.581742,0.856566,0.556768,0.2505,0.002954,0.734200,0.978933,0.599596,1.113536,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2050,agricultural_irrigation_canals,316232,0.632464,0.931250,0.605313,0.2724,0.003211,0.798214,1.064286,0.651875,1.210625,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2026,small_river_micro_hydro,1000,0.010000,0.019727,0.013809,0.0062,0.000068,0.017379,0.022075,0.013809,0.025645,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2027,small_river_micro_hydro,2060,0.020600,0.040638,0.028446,0.0128,0.000140,0.035800,0.045475,0.028446,0.052829,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2028,small_river_micro_hydro,3183,0.031830,0.062791,0.043954,0.0198,0.000217,0.055316,0.070266,0.043954,0.081628,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2029,small_river_micro_hydro,4374,0.043740,0.086286,0.060400,0.0272,0.000298,0.076014,0.096558,0.060400,0.112172,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2030,small_river_micro_hydro,5636,0.056360,0.111181,0.077827,0.0350,0.000383,0.097945,0.124417,0.077827,0.144536,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2031,small_river_micro_hydro,6974,0.069740,0.137576,0.096303,0.0433,0.000474,0.121198,0.153954,0.096303,0.178849,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2032,small_river_micro_hydro,8392,0.083920,0.165549,0.115884,0.0521,0.000571,0.145841,0.185257,0.115884,0.215214,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2033,small_river_micro_hydro,9895,0.098950,0.195199,0.136639,0.0615,0.000673,0.171961,0.218436,0.136639,0.253758,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2034,small_river_micro_hydro,11488,0.114880,0.226624,0.158637,0.0714,0.000781,0.199645,0.253603,0.158637,0.294611,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2035,small_river_micro_hydro,13177,0.131770,0.259943,0.181960,0.0819,0.000896,0.228997,0.290888,0.181960,0.337925,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2036,small_river_micro_hydro,14967,0.149670,0.295254,0.206678,0.0930,0.001018,0.260105,0.330403,0.206678,0.383830,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2037,small_river_micro_hydro,16865,0.168650,0.332696,0.232887,0.1048,0.001147,0.293089,0.372302,0.232887,0.432504,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2038,small_river_micro_hydro,18877,0.188770,0.372386,0.260670,0.1173,0.001284,0.328055,0.416718,0.260670,0.484102,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2039,small_river_micro_hydro,21009,0.210090,0.414444,0.290111,0.1305,0.001429,0.365106,0.463783,0.290111,0.538778,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2040,small_river_micro_hydro,23269,0.232690,0.459027,0.321319,0.1446,0.001583,0.404381,0.513673,0.321319,0.596735,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2041,small_river_micro_hydro,25665,0.256650,0.506293,0.354405,0.1595,0.001746,0.446020,0.566566,0.354405,0.658181,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2042,small_river_micro_hydro,28205,0.282050,0.556400,0.389480,0.1753,0.001919,0.490162,0.622638,0.389480,0.723320,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2043,small_river_micro_hydro,30897,0.308970,0.609505,0.426653,0.1920,0.002102,0.536945,0.682065,0.426653,0.792356,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2044,small_river_micro_hydro,33751,0.337510,0.665806,0.466064,0.2097,0.002296,0.586543,0.745068,0.466064,0.865547,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2045,small_river_micro_hydro,36776,0.367760,0.725480,0.507836,0.2285,0.002502,0.639113,0.811846,0.507836,0.943124,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2046,small_river_micro_hydro,39983,0.399830,0.788744,0.552121,0.2485,0.002720,0.694846,0.882642,0.552121,1.025367,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2047,small_river_micro_hydro,43382,0.433820,0.855796,0.599057,0.2696,0.002951,0.753916,0.957677,0.599057,1.112535,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2048,small_river_micro_hydro,46985,0.469850,0.926873,0.648811,0.2920,0.003196,0.816531,1.037214,0.648811,1.204934,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2049,small_river_micro_hydro,50804,0.508040,1.002210,0.701547,0.3157,0.003456,0.882899,1.121521,0.701547,1.302873,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2050,small_river_micro_hydro,54852,0.548520,1.082065,0.757445,0.3409,0.003731,0.953247,1.210882,0.757445,1.406684,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2026,distributed_vertical_axis_wind,3000,0.015000,0.015122,0.009830,0.0044,0.000052,0.012098,0.018147,0.010586,0.019659,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2027,distributed_vertical_axis_wind,6300,0.031500,0.031757,0.020642,0.0093,0.000110,0.025406,0.038109,0.022230,0.041284,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2028,distributed_vertical_axis_wind,9930,0.049650,0.050055,0.032536,0.0146,0.000173,0.040044,0.060067,0.035039,0.065072,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2029,distributed_vertical_axis_wind,13923,0.069615,0.070184,0.045619,0.0205,0.000242,0.056147,0.084220,0.049128,0.091239,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2030,distributed_vertical_axis_wind,18315,0.091575,0.092323,0.060010,0.0270,0.000318,0.073858,0.110787,0.064626,0.120020,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2031,distributed_vertical_axis_wind,23146,0.115730,0.116675,0.075839,0.0341,0.000402,0.093340,0.140010,0.081673,0.151678,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2032,distributed_vertical_axis_wind,28460,0.142300,0.143462,0.093250,0.0420,0.000495,0.114770,0.172155,0.100423,0.186501,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2033,distributed_vertical_axis_wind,34306,0.171530,0.172931,0.112405,0.0506,0.000596,0.138345,0.207517,0.121052,0.224810,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2034,distributed_vertical_axis_wind,40736,0.203680,0.205343,0.133473,0.0601,0.000708,0.164275,0.246412,0.143740,0.266946,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2035,distributed_vertical_axis_wind,47809,0.239045,0.240997,0.156648,0.0705,0.000831,0.192798,0.289197,0.168698,0.313296,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2036,distributed_vertical_axis_wind,55590,0.277950,0.280220,0.182143,0.0820,0.000966,0.224176,0.336264,0.196154,0.364286,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2037,distributed_vertical_axis_wind,64149,0.320745,0.323364,0.210187,0.0946,0.001115,0.258691,0.388037,0.226355,0.420374,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2038,distributed_vertical_axis_wind,73564,0.367820,0.370824,0.241035,0.1085,0.001279,0.296659,0.444989,0.259577,0.482071,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2039,distributed_vertical_axis_wind,83920,0.419600,0.423027,0.274967,0.1237,0.001459,0.338421,0.507632,0.296119,0.549935,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2040,distributed_vertical_axis_wind,95312,0.476560,0.480452,0.312294,0.1405,0.001657,0.384361,0.576542,0.336316,0.624587,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2041,distributed_vertical_axis_wind,107843,0.539215,0.543618,0.353352,0.1590,0.001875,0.434895,0.652342,0.380533,0.706704,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2042,distributed_vertical_axis_wind,121627,0.608135,0.613101,0.398516,0.1793,0.002114,0.490481,0.735722,0.429171,0.797032,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2043,distributed_vertical_axis_wind,136790,0.683950,0.689535,0.448198,0.2017,0.002378,0.551628,0.827443,0.482675,0.896396,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2044,distributed_vertical_axis_wind,153469,0.767345,0.773612,0.502847,0.2263,0.002668,0.618889,0.928334,0.541528,1.005695,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2045,distributed_vertical_axis_wind,171816,0.859080,0.866096,0.562962,0.2533,0.002987,0.692877,1.039315,0.606267,1.125924,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2046,distributed_vertical_axis_wind,191998,0.959990,0.967830,0.629089,0.2831,0.003337,0.774264,1.161396,0.677481,1.258179,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2047,distributed_vertical_axis_wind,214198,1.070990,1.079736,0.701829,0.3158,0.003723,0.863789,1.295683,0.755815,1.403657,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2048,distributed_vertical_axis_wind,238618,1.193090,1.202833,0.781842,0.3518,0.004148,0.962267,1.443400,0.841983,1.563683,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2049,distributed_vertical_axis_wind,265480,1.327400,1.338240,0.869856,0.3914,0.004615,1.070592,1.605888,0.936768,1.739712,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2050,distributed_vertical_axis_wind,295029,1.475145,1.487192,0.966675,0.4350,0.005128,1.189753,1.784630,1.041034,1.933349,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2026,coastal_tidal_wave_assisted,500,0.010000,0.016170,0.011319,0.0051,0.000056,0.014042,0.018298,0.011319,0.021021,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2027,coastal_tidal_wave_assisted,1045,0.020900,0.033795,0.023657,0.0106,0.000117,0.029349,0.038242,0.023657,0.043934,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2028,coastal_tidal_wave_assisted,1639,0.032780,0.053005,0.037104,0.0167,0.000183,0.046031,0.059980,0.037104,0.068907,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2029,coastal_tidal_wave_assisted,2286,0.045720,0.073929,0.051750,0.0233,0.000255,0.064202,0.083657,0.051750,0.096108,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2030,coastal_tidal_wave_assisted,2991,0.059820,0.096729,0.067710,0.0305,0.000334,0.084001,0.109456,0.067710,0.125747,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2031,coastal_tidal_wave_assisted,3760,0.075200,0.121598,0.085119,0.0383,0.000419,0.105598,0.137598,0.085119,0.158078,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2032,coastal_tidal_wave_assisted,4598,0.091960,0.148699,0.104089,0.0468,0.000513,0.129133,0.168265,0.104089,0.193309,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2033,coastal_tidal_wave_assisted,5512,0.110240,0.178258,0.124780,0.0562,0.000615,0.154803,0.201713,0.124780,0.231735,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2034,coastal_tidal_wave_assisted,6508,0.130160,0.210468,0.147328,0.0663,0.000726,0.182775,0.238162,0.147328,0.273609,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2035,coastal_tidal_wave_assisted,7593,0.151860,0.245557,0.171890,0.0774,0.000847,0.213247,0.277867,0.171890,0.319224,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2036,coastal_tidal_wave_assisted,8776,0.175520,0.283815,0.198671,0.0894,0.000979,0.246471,0.321160,0.198671,0.368960,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2037,coastal_tidal_wave_assisted,10066,0.201320,0.325534,0.227874,0.1025,0.001123,0.282701,0.368367,0.227874,0.423194,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2038,coastal_tidal_wave_assisted,11472,0.229440,0.371004,0.259703,0.1169,0.001279,0.322188,0.419820,0.259703,0.482305,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2039,coastal_tidal_wave_assisted,13004,0.260080,0.420549,0.294384,0.1325,0.001450,0.365213,0.475884,0.294384,0.546713,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2040,coastal_tidal_wave_assisted,14674,0.293480,0.474557,0.332190,0.1495,0.001636,0.412115,0.536998,0.332190,0.616924,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2041,coastal_tidal_wave_assisted,16495,0.329900,0.533448,0.373413,0.1680,0.001839,0.463257,0.603638,0.373413,0.693482,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2042,coastal_tidal_wave_assisted,18480,0.369600,0.597642,0.418350,0.1883,0.002061,0.519005,0.676280,0.418350,0.776935,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2043,coastal_tidal_wave_assisted,20643,0.412860,0.667594,0.467316,0.2103,0.002302,0.579752,0.755435,0.467316,0.867872,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2044,coastal_tidal_wave_assisted,23001,0.460020,0.743851,0.520696,0.2343,0.002565,0.645976,0.841727,0.520696,0.967007,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2045,coastal_tidal_wave_assisted,25571,0.511420,0.826965,0.578876,0.2605,0.002852,0.718154,0.935776,0.578876,1.075055,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2046,coastal_tidal_wave_assisted,28373,0.567460,0.917582,0.642307,0.2890,0.003164,0.796847,1.038316,0.642307,1.192856,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2047,coastal_tidal_wave_assisted,31427,0.628540,1.016348,0.711443,0.3201,0.003505,0.882618,1.150078,0.711443,1.321252,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2048,coastal_tidal_wave_assisted,34756,0.695120,1.124008,0.786805,0.3541,0.003876,0.976112,1.271903,0.786805,1.461210,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2049,coastal_tidal_wave_assisted,38384,0.767680,1.241337,0.868936,0.3910,0.004280,1.078003,1.404671,0.868936,1.613738,STRESS TEST SCENARIO -- not a real prediction
unrealistic_upper_bound_check,2050,coastal_tidal_wave_assisted,42339,0.846780,1.369241,0.958469,0.4313,0.004722,1.189078,1.549405,0.958469,1.780014,STRESS TEST SCENARIO -- not a real prediction
